n,n_valuable,n_false_stops,stop_rate,valuable_run_recall,valuable_false_stop_rate,endpoint_observation_rate,mean_true_outcome,mean_observed_outcome,endpoint_selection_bias,simple_regret_batch,mae,rmse,spearman,seed,stop_quantile,learner,round
18,3,0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6712110326872681,0.667542288140106,-0.0036687445471621505,0.0,0.06519319398454952,0.08865606022655123,0.3065015479876161,0,0.2,oracle_all_endpoints,2
30,5,0,0.26666666666666666,1.0,0.0,0.7333333333333333,0.6653167370184837,0.6714544972646339,0.0061377602461502034,0.0,0.0702515343020988,0.10374531636911974,0.19555061179087874,0,0.2,oracle_all_endpoints,3
32,5,0,0.25,1.0,0.0,0.75,0.6662605741832348,0.6722014667971226,0.005940892613887749,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.2,oracle_all_endpoints,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.2,static_initial,1
18,3,0,0.3888888888888889,1.0,0.0,0.6111111111111112,0.6712110326872681,0.673362229797302,0.0021511971100338645,0.0,0.06806152784355077,0.08955904196154649,0.48606811145510836,0,0.2,static_initial,2
30,5,0,0.4,1.0,0.0,0.6,0.6653167370184837,0.6768415900282101,0.011524853009726388,0.0,0.07415781415520085,0.10526987610964378,0.3846496106785317,0,0.2,static_initial,3
32,5,0,0.40625,1.0,0.0,0.59375,0.6662605741832348,0.6771204012684628,0.010859827085228035,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.2,static_initial,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.25,completed_only,1
18,3,0,0.3888888888888889,1.0,0.0,0.6111111111111112,0.6712110326872681,0.6665047698354404,-0.004706262851827736,0.0,0.06687422898160121,0.08903399317119672,0.37048503611971106,0,0.25,completed_only,2
30,5,0,0.36666666666666664,1.0,0.0,0.6333333333333333,0.6653167370184837,0.6721450943080874,0.006828357289603737,0.0,0.06937380612186544,0.09856531860259836,0.2667408231368187,0,0.25,completed_only,3
32,5,0,0.34375,1.0,0.0,0.65625,0.6662605741832348,0.6729330026267932,0.00667242844355842,0.0,0.06691877821613773,0.09598659234272734,0.26832844574780057,0,0.25,completed_only,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.25,oracle_all_endpoints,1
18,3,0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6712110326872681,0.667542288140106,-0.0036687445471621505,0.0,0.06519319398454952,0.08865606022655123,0.3065015479876161,0,0.25,oracle_all_endpoints,2
30,5,0,0.3,1.0,0.0,0.7,0.6653167370184837,0.6715201635137267,0.00620342649524297,0.0,0.0702515343020988,0.10374531636911974,0.19555061179087874,0,0.25,oracle_all_endpoints,3
32,5,0,0.28125,1.0,0.0,0.71875,0.6662605741832348,0.6722938998737937,0.006033325690558922,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.25,oracle_all_endpoints,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.25,static_initial,1
18,3,0,0.3888888888888889,1.0,0.0,0.6111111111111112,0.6712110326872681,0.673362229797302,0.0021511971100338645,0.0,0.06806152784355077,0.08955904196154649,0.48606811145510836,0,0.25,static_initial,2
30,5,0,0.4,1.0,0.0,0.6,0.6653167370184837,0.6768415900282101,0.011524853009726388,0.0,0.07415781415520085,0.10526987610964378,0.3846496106785317,0,0.25,static_initial,3
32,5,0,0.40625,1.0,0.0,0.59375,0.6662605741832348,0.6771204012684628,0.010859827085228035,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.25,static_initial,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.3,completed_only,1
18,3,0,0.3888888888888889,1.0,0.0,0.6111111111111112,0.6712110326872681,0.6665047698354404,-0.004706262851827736,0.0,0.06687422898160121,0.08903399317119672,0.37048503611971106,0,0.3,completed_only,2
30,5,0,0.36666666666666664,1.0,0.0,0.6333333333333333,0.6653167370184837,0.6721450943080874,0.006828357289603737,0.0,0.06937380612186544,0.09856531860259836,0.2667408231368187,0,0.3,completed_only,3
32,5,0,0.34375,1.0,0.0,0.65625,0.6662605741832348,0.6729330026267932,0.00667242844355842,0.0,0.06691877821613773,0.09598659234272734,0.26832844574780057,0,0.3,completed_only,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.3,oracle_all_endpoints,1
18,3,0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6712110326872681,0.667542288140106,-0.0036687445471621505,0.0,0.06519319398454952,0.08865606022655123,0.3065015479876161,0,0.3,oracle_all_endpoints,2
30,5,0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6653167370184837,0.6713366439323727,0.006019906913888984,0.0,0.0702515343020988,0.10374531636911974,0.19555061179087874,0,0.3,oracle_all_endpoints,3
32,5,0,0.3125,1.0,0.0,0.6875,0.6662605741832348,0.6721622337252933,0.005901659542058457,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.3,oracle_all_endpoints,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.3,static_initial,1
18,3,0,0.3888888888888889,1.0,0.0,0.6111111111111112,0.6712110326872681,0.673362229797302,0.0021511971100338645,0.0,0.06806152784355077,0.08955904196154649,0.48606811145510836,0,0.3,static_initial,2
30,5,0,0.4,1.0,0.0,0.6,0.6653167370184837,0.6768415900282101,0.011524853009726388,0.0,0.07415781415520085,0.10526987610964378,0.3846496106785317,0,0.3,static_initial,3
32,5,0,0.40625,1.0,0.0,0.59375,0.6662605741832348,0.6771204012684628,0.010859827085228035,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.3,static_initial,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.35,completed_only,1
18,3,0,0.3888888888888889,1.0,0.0,0.6111111111111112,0.6712110326872681,0.6665047698354404,-0.004706262851827736,0.0,0.06687422898160121,0.08903399317119672,0.37048503611971106,0,0.35,completed_only,2
30,5,0,0.36666666666666664,1.0,0.0,0.6333333333333333,0.6653167370184837,0.6721450943080874,0.006828357289603737,0.0,0.06937380612186544,0.09856531860259836,0.2667408231368187,0,0.35,completed_only,3
32,5,0,0.34375,1.0,0.0,0.65625,0.6662605741832348,0.6729330026267932,0.00667242844355842,0.0,0.06691877821613773,0.09598659234272734,0.26832844574780057,0,0.35,completed_only,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.35,oracle_all_endpoints,1
18,3,0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6712110326872681,0.667542288140106,-0.0036687445471621505,0.0,0.06519319398454952,0.08865606022655123,0.3065015479876161,0,0.35,oracle_all_endpoints,2
30,5,0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6653167370184837,0.6713366439323727,0.006019906913888984,0.0,0.0702515343020988,0.10374531636911974,0.19555061179087874,0,0.35,oracle_all_endpoints,3
32,5,0,0.3125,1.0,0.0,0.6875,0.6662605741832348,0.6721622337252933,0.005901659542058457,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.35,oracle_all_endpoints,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.35,static_initial,1
18,3,0,0.3888888888888889,1.0,0.0,0.6111111111111112,0.6712110326872681,0.673362229797302,0.0021511971100338645,0.0,0.06806152784355077,0.08955904196154649,0.48606811145510836,0,0.35,static_initial,2
30,5,0,0.4,1.0,0.0,0.6,0.6653167370184837,0.6768415900282101,0.011524853009726388,0.0,0.07415781415520085,0.10526987610964378,0.3846496106785317,0,0.35,static_initial,3
32,5,0,0.40625,1.0,0.0,0.59375,0.6662605741832348,0.6771204012684628,0.010859827085228035,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.35,static_initial,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.4,completed_only,1
18,3,0,0.3888888888888889,1.0,0.0,0.6111111111111112,0.6712110326872681,0.6665047698354404,-0.004706262851827736,0.0,0.06687422898160121,0.08903399317119672,0.37048503611971106,0,0.4,completed_only,2
30,5,0,0.36666666666666664,1.0,0.0,0.6333333333333333,0.6653167370184837,0.6721450943080874,0.006828357289603737,0.0,0.06937380612186544,0.09856531860259836,0.2667408231368187,0,0.4,completed_only,3
32,5,0,0.34375,1.0,0.0,0.65625,0.6662605741832348,0.6729330026267932,0.00667242844355842,0.0,0.06691877821613773,0.09598659234272734,0.26832844574780057,0,0.4,completed_only,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.4,oracle_all_endpoints,1
18,3,0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6712110326872681,0.667542288140106,-0.0036687445471621505,0.0,0.06519319398454952,0.08865606022655123,0.3065015479876161,0,0.4,oracle_all_endpoints,2
30,5,0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6653167370184837,0.6713366439323727,0.006019906913888984,0.0,0.0702515343020988,0.10374531636911974,0.19555061179087874,0,0.4,oracle_all_endpoints,3
32,5,0,0.3125,1.0,0.0,0.6875,0.6662605741832348,0.6721622337252933,0.005901659542058457,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.4,oracle_all_endpoints,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.4,static_initial,1
18,3,0,0.3888888888888889,1.0,0.0,0.6111111111111112,0.6712110326872681,0.673362229797302,0.0021511971100338645,0.0,0.06806152784355077,0.08955904196154649,0.48606811145510836,0,0.4,static_initial,2
30,5,0,0.4,1.0,0.0,0.6,0.6653167370184837,0.6768415900282101,0.011524853009726388,0.0,0.07415781415520085,0.10526987610964378,0.3846496106785317,0,0.4,static_initial,3
32,5,0,0.40625,1.0,0.0,0.59375,0.6662605741832348,0.6771204012684628,0.010859827085228035,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.4,static_initial,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.45,completed_only,1
18,3,0,0.3888888888888889,1.0,0.0,0.6111111111111112,0.6712110326872681,0.6665047698354404,-0.004706262851827736,0.0,0.06687422898160121,0.08903399317119672,0.37048503611971106,0,0.45,completed_only,2
30,5,0,0.36666666666666664,1.0,0.0,0.6333333333333333,0.6653167370184837,0.6721450943080874,0.006828357289603737,0.0,0.06937380612186544,0.09856531860259836,0.2667408231368187,0,0.45,completed_only,3
32,5,0,0.34375,1.0,0.0,0.65625,0.6662605741832348,0.6729330026267932,0.00667242844355842,0.0,0.06691877821613773,0.09598659234272734,0.26832844574780057,0,0.45,completed_only,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.45,oracle_all_endpoints,1
18,3,0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6712110326872681,0.667542288140106,-0.0036687445471621505,0.0,0.06519319398454952,0.08865606022655123,0.3065015479876161,0,0.45,oracle_all_endpoints,2
30,5,0,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6653167370184837,0.6713366439323727,0.006019906913888984,0.0,0.0702515343020988,0.10374531636911974,0.19555061179087874,0,0.45,oracle_all_endpoints,3
32,5,0,0.3125,1.0,0.0,0.6875,0.6662605741832348,0.6721622337252933,0.005901659542058457,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.45,oracle_all_endpoints,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.45,static_initial,1
18,3,0,0.3888888888888889,1.0,0.0,0.6111111111111112,0.6712110326872681,0.673362229797302,0.0021511971100338645,0.0,0.06806152784355077,0.08955904196154649,0.48606811145510836,0,0.45,static_initial,2
30,5,0,0.4,1.0,0.0,0.6,0.6653167370184837,0.6768415900282101,0.011524853009726388,0.0,0.07415781415520085,0.10526987610964378,0.3846496106785317,0,0.45,static_initial,3
32,5,0,0.40625,1.0,0.0,0.59375,0.6662605741832348,0.6771204012684628,0.010859827085228035,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.45,static_initial,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.5,completed_only,1
18,3,0,0.5,1.0,0.0,0.5,0.6712110326872681,0.6679998203016799,-0.0032112123855881913,0.0,0.06687422898160121,0.08903399317119672,0.37048503611971106,0,0.5,completed_only,2
30,5,0,0.5,1.0,0.0,0.5,0.6653167370184837,0.6730909495061044,0.007774212487620669,0.0,0.0688759428740204,0.0989595296079323,0.2289210233592881,0,0.5,completed_only,3
32,5,0,0.5,1.0,0.0,0.5,0.6662605741832348,0.6736564528865362,0.007395878703301384,0.0,0.06655492578533379,0.09616976955487372,0.23093841642228732,0,0.5,completed_only,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.5,oracle_all_endpoints,1
18,3,0,0.3888888888888889,1.0,0.0,0.6111111111111112,0.6712110326872681,0.6652795579854384,-0.005931474701829753,0.0,0.06519319398454952,0.08865606022655123,0.3065015479876161,0,0.5,oracle_all_endpoints,2
30,5,0,0.36666666666666664,1.0,0.0,0.6333333333333333,0.6653167370184837,0.6702263452003162,0.004909608181832503,0.0,0.0702515343020988,0.10374531636911974,0.19555061179087874,0,0.5,oracle_all_endpoints,3
32,5,0,0.34375,1.0,0.0,0.65625,0.6662605741832348,0.6711969915292859,0.004936417346051103,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.5,oracle_all_endpoints,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.5,static_initial,1
18,3,0,0.3888888888888889,1.0,0.0,0.6111111111111112,0.6712110326872681,0.673362229797302,0.0021511971100338645,0.0,0.06806152784355077,0.08955904196154649,0.48606811145510836,0,0.5,static_initial,2
30,5,0,0.4,1.0,0.0,0.6,0.6653167370184837,0.6768415900282101,0.011524853009726388,0.0,0.07415781415520085,0.10526987610964378,0.3846496106785317,0,0.5,static_initial,3
32,5,0,0.40625,1.0,0.0,0.59375,0.6662605741832348,0.6771204012684628,0.010859827085228035,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.5,static_initial,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.55,completed_only,1
18,3,0,0.5,1.0,0.0,0.5,0.6712110326872681,0.6679998203016799,-0.0032112123855881913,0.0,0.06687422898160121,0.08903399317119672,0.37048503611971106,0,0.55,completed_only,2
30,5,0,0.5,1.0,0.0,0.5,0.6653167370184837,0.6730909495061044,0.007774212487620669,0.0,0.0688759428740204,0.0989595296079323,0.2289210233592881,0,0.55,completed_only,3
32,5,0,0.5,1.0,0.0,0.5,0.6662605741832348,0.6736564528865362,0.007395878703301384,0.0,0.06655492578533379,0.09616976955487372,0.23093841642228732,0,0.55,completed_only,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.55,oracle_all_endpoints,1
18,3,0,0.3888888888888889,1.0,0.0,0.6111111111111112,0.6712110326872681,0.6652795579854384,-0.005931474701829753,0.0,0.06519319398454952,0.08865606022655123,0.3065015479876161,0,0.55,oracle_all_endpoints,2
30,5,0,0.36666666666666664,1.0,0.0,0.6333333333333333,0.6653167370184837,0.6702263452003162,0.004909608181832503,0.0,0.0702515343020988,0.10374531636911974,0.19555061179087874,0,0.55,oracle_all_endpoints,3
32,5,0,0.34375,1.0,0.0,0.65625,0.6662605741832348,0.6711969915292859,0.004936417346051103,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.55,oracle_all_endpoints,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.55,static_initial,1
18,3,0,0.3888888888888889,1.0,0.0,0.6111111111111112,0.6712110326872681,0.673362229797302,0.0021511971100338645,0.0,0.06806152784355077,0.08955904196154649,0.48606811145510836,0,0.55,static_initial,2
30,5,0,0.4,1.0,0.0,0.6,0.6653167370184837,0.6768415900282101,0.011524853009726388,0.0,0.07415781415520085,0.10526987610964378,0.3846496106785317,0,0.55,static_initial,3
32,5,0,0.40625,1.0,0.0,0.59375,0.6662605741832348,0.6771204012684628,0.010859827085228035,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.55,static_initial,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.6,completed_only,1
18,3,0,0.5,1.0,0.0,0.5,0.6712110326872681,0.6679998203016799,-0.0032112123855881913,0.0,0.06687422898160121,0.08903399317119672,0.37048503611971106,0,0.6,completed_only,2
30,5,0,0.5,1.0,0.0,0.5,0.6653167370184837,0.6730909495061044,0.007774212487620669,0.0,0.0688759428740204,0.0989595296079323,0.2289210233592881,0,0.6,completed_only,3
32,5,0,0.5,1.0,0.0,0.5,0.6662605741832348,0.6736564528865362,0.007395878703301384,0.0,0.06655492578533379,0.09616976955487372,0.23093841642228732,0,0.6,completed_only,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.6,oracle_all_endpoints,1
18,3,0,0.3888888888888889,1.0,0.0,0.6111111111111112,0.6712110326872681,0.6652795579854384,-0.005931474701829753,0.0,0.06519319398454952,0.08865606022655123,0.3065015479876161,0,0.6,oracle_all_endpoints,2
30,5,0,0.4,1.0,0.0,0.6,0.6653167370184837,0.6694187556140176,0.0041020185955339405,0.0,0.0702515343020988,0.10374531636911974,0.19555061179087874,0,0.6,oracle_all_endpoints,3
32,5,0,0.375,1.0,0.0,0.625,0.6662605741832348,0.6705186932180658,0.004258119034830976,0.0,0.07014203751273877,0.10197794030915046,0.19648093841642225,0,0.6,oracle_all_endpoints,4
9,1,0,0.5555555555555556,1.0,0.0,0.4444444444444444,0.6865828038515341,0.6936751362608954,0.007092332409361246,0.0,0.06085477822366561,0.07151410989585158,0.6833333333333333,0,0.6,static_initial,1
18,3,0,0.3888888888888889,1.0,0.0,0.6111111111111112,0.6712110326872681,0.673362229797302,0.0021511971100338645,0.0,0.06806152784355077,0.08955904196154649,0.48606811145510836,0,0.6,static_initial,2
30,5,0,0.4,1.0,0.0,0.6,0.6653167370184837,0.6768415900282101,0.011524853009726388,0.0,0.07415781415520085,0.10526987610964378,0.3846496106785317,0,0.6,static_initial,3
32,5,0,0.40625,1.0,0.0,0.59375,0.6662605741832348,0.6771204012684628,0.010859827085228035,0.0,0.0718085456229297,0.10235511905499538,0.3900293255131964,0,0.6,static_initial,4
9,0,0,0.0,,,1.0,0.661270275210776,0.661270275210776,0.0,0.0,0.04613936598650459,0.07382250654886262,,1,0.1,completed_only,1
29,0,0,0.0,,,1.0,0.6594080337327223,0.6594080337327223,0.0,0.0,0.04196775163943247,0.06427123743719775,0.23162640965743442,1,0.1,completed_only,2
